update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,130.9495604825182,15,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,116.27242221434163,33,0.0,0.0,0.0,0.0,26.0,68.96738359543589,0.0,222.0,1.941738799214363,-0.025403372943401337,-0.005019891890697181,3.4453255921107484e-05,0.003564722996892961,0.125,0.33071891388307384,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,173.29234360554554,11,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,202.07952452090203,10,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,201.86706109143043,10,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,179.13862843206104,21,0.0,0.0,0.0,0.0,26.0,68.96738359543589,0.0,222.0,1.941738799214363,-0.025403372943401337,-0.005019891890697181,3.4453255921107484e-05,0.003564722996892961,0.125,0.33071891388307384,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,183.1526740973772,11,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,166.88204636636348,23,0.0,0.0,0.0,0.0,26.0,68.96738359543589,0.0,222.0,1.941738799214363,-0.025403372943401337,-0.005019891890697181,3.4453255921107484e-05,0.003564722996892961,0.125,0.33071891388307384,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,133.61188370252205,15,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,146.65629955236537,29,0.0,0.0,0.0,0.0,26.0,68.96738359543589,0.0,222.0,1.941738799214363,-0.025403372943401337,-0.005019891890697181,3.4453255921107484e-05,0.003564722996892961,0.125,0.33071891388307384,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,166.31503564231926,12,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,204.33971843913335,10,0.0,0.0,0,0,0.0,0.0,0,0,1.931500256061554,-0.029378960840404034,-0.005211890733335167,0.0002764825421763817,0.01630158624894304,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,172.66182484918457,21,0.0,0.0,0.0,0.0,26.0,68.96738359543589,0.0,222.0,1.9356740862131119,-0.017755019245669246,-0.01413645502179861,0.0031911366313579492,0.024179335470445606,0.125,0.33071891388307384,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,174.80688407368342,33,0.0625,0.24206145913796356,0.0,1.0,35.5625,75.03913041706973,0.0,222.0,1.940909743309021,-0.00509975801105611,-0.0011512309574754909,6.902770201122621e-05,0.004624275900662352,0.1875,0.3903123748998999,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,108.80601929108678,52,0.0625,0.24206145913796356,0.0,1.0,119.6875,174.30351357258982,0.0,470.0,1.934696838259697,0.020100705325603485,-0.015606006607413292,0.004338716054917313,0.028362285948894297,0.375,0.4841229182759271,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,101.24325055964725,72,0.0625,0.24206145913796356,0.0,1.0,227.1875,234.5256432541013,0.0,612.0,1.9319021254777908,0.07202943740412593,-0.005015570946852677,0.004593525256495923,0.042897595081749604,0.5625,0.49607837082461076,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,104.67293761852412,92,0.0625,0.24206145913796356,0.0,1.0,344.3125,240.3517523209473,0.0,729.0,1.9324369877576828,0.08169906213879585,0.006379797152476385,0.002857049628801178,0.024397862668448966,0.8125,0.3903123748998999,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,97.72737182269285,113,0.0625,0.24206145913796356,0.0,1.0,344.3125,240.3517523209473,0.0,729.0,1.9415850937366486,0.07306645065546036,0.012799179530702531,0.00012475928178901086,0.00921951741320801,0.8125,0.3903123748998999,0.0,1.0
